source_institution,election_year,artifact_type,expected_folder,expected_filename,actual_filename,format,required_for_epic_2,acquisition_status,acceptance_criteria,notes
INE,N/A,marco_seccional,data/raw/ine,ine_marco_seccional_gto_YYYYMMDD.*,bgd_11_Shapefile.zip,ZIP,yes,inspected,"Incluye Guanajuato, geometria valida y llaves equivalentes a entidad/municipio/seccion","SECCION.shp detectado; usable para staging geografico; CRS pendiente de confirmacion programatica con stack geoespacial si aplica."
INE,N/A,catalogo_geoelectoral,data/raw/ine,ine_catalogo_geoelectoral_gto_YYYYMMDD.*,edmslm_ine_corte_ene_2026.txt,TXT,yes,inspected,"Expone cve_ent, cve_mun y cve_secc para validar normalizacion",Correcto. Para revision se compartio comprimido como edmslm_ine_corte_ene_2026.zip; en el repo local usar el TXT nacional y filtrar Guanajuato/Leon en pipeline. | Schema audit completed.
IEEG,2018,resultados_dip_local,data/raw/ieeg/2018,ieeg_dip_local_2018_YYYYMMDD.*,Computo x casillas Diputaciones.xlsx,XLSX,yes,inspected,Permite reconstruir seccion directa o desde casilla y contiene votos PAN + total votos,Correcto. Archivo oficial de computo por casillas de Diputaciones 2018; validacion de columnas queda para Epica 2.1. | Schema audit completed.
IEEG,2018,metadata_resultados,data/raw/ieeg/2018,ieeg_dip_local_2018_metadata_YYYYMMDD.*,,PDF/HTML/TXT,yes,pending,Documenta definicion de campos y fecha de corte,Pendiente. Puede resolverse con URL del portal oficial y/o captura/HTML de la pagina de descarga si no existe metadata separada.
IEEG,2021,resultados_dip_local,data/raw/ieeg/2021,ieeg_dip_local_2021_YYYYMMDD.*,computos_ieeg_2021_diputaciones_base_datos.zip,ZIP,yes,inspected,Permite reconstruir seccion directa o desde casilla y contiene votos PAN + total votos,Correcto. El ZIP incluye 20210610_1200_DIP_LOC_GTO.zip con GTO_DIP_LOC_2021.csv y GTO_DIP_LOC_CANDIDATURAS_2021.csv; ignora AYUN para este proyecto. | Schema audit completed.
IEEG,2021,metadata_resultados,data/raw/ieeg/2021,ieeg_dip_local_2021_metadata_YYYYMMDD.*,,PDF/HTML/TXT,yes,pending,Documenta definicion de campos y fecha de corte,Pendiente. Puede cubrirse con manifest + URL del portal Base de Datos/Computos 2021 si no hay diccionario separado.
INEGI,N/A,red_vial_contexto,data/raw/inegi,inegi_rnc_gto_YYYYMMDD.*,,SHP/GeoJSON/ZIP,no,pending,Valido para contexto/overlay opcional,Opcional. No bloquea Epica 2.1 ni la generacion de secciones.geojson.
INEGI,N/A,contexto_territorial,data/raw/inegi,inegi_contexto_territorial_gto_YYYYMMDD.*,,SHP/GeoJSON/ZIP,no,pending,Valido solo para contexto visual,Opcional v1.
Manual,N/A,fuentes_manifest,data/raw/manual,fuentes-manifest.csv,fuentes-manifest.csv,CSV,yes,inspected,"Registra insumo, URL, fecha_consulta, estado_verificacion y responsable","Existe, pero conviene completar local_filename para cada archivo real descargado. | Schema audit completed."
INE/IEEG,N/A,equivalencias_seccionales,data/raw/manual,equivalencias_seccionales_2018_2021.*,,CSV/XLSX/PDF,no,pending,"Si existe, debe ser oficial y describir correspondencias origen-destino","Opcional. Si no se encuentra fuente oficial, documentar ausencia y resolver no matches con QA."
